step,top1_miss,ema_miss,top1_acc,flip_penalty,median_rel_margin,flip_severity
194,0.553223,0.529879,0.446777,0.365234,1.250000,1.109375
195,0.553223,0.532214,0.446777,0.371094,1.109375,1.132812
196,0.618164,0.540809,0.381836,0.476562,0.964844,1.750000
197,0.525879,0.539316,0.474121,0.365234,1.117188,1.117188
198,0.504883,0.535873,0.495117,0.347656,1.000000,1.125000
199,0.571289,0.539414,0.428711,0.435547,0.914062,1.484375
200,0.524414,0.537914,0.475586,0.349609,1.226562,1.140625
201,0.487305,0.532853,0.512695,0.341797,0.882812,1.078125
202,0.522949,0.531863,0.477051,0.355469,1.101562,1.171875
203,0.512207,0.529897,0.487793,0.363281,1.023438,1.195312
204,0.504883,0.527396,0.495117,0.343750,1.000000,1.078125
205,0.504883,0.525145,0.495117,0.341797,0.968750,1.015625
206,0.517090,0.524339,0.482910,0.324219,1.250000,0.937500
207,0.535645,0.525470,0.464355,0.357422,1.000000,1.156250
208,0.490723,0.521995,0.509277,0.320312,1.234375,1.031250
209,0.497559,0.519551,0.502441,0.324219,1.062500,0.972656
210,0.490234,0.516620,0.509766,0.318359,1.085938,0.851562
211,0.486816,0.513639,0.513184,0.318359,1.062500,0.917969
212,0.515625,0.513838,0.484375,0.349609,1.132812,0.937500
213,0.514648,0.513919,0.485352,0.347656,1.156250,1.023438
214,0.518555,0.514382,0.481445,0.332031,1.093750,0.972656
215,0.517090,0.514653,0.482910,0.332031,1.234375,1.125000
216,0.509766,0.514164,0.490234,0.339844,1.171875,1.226562
217,0.502441,0.512992,0.497559,0.335938,1.062500,1.171875
218,0.520508,0.513744,0.479492,0.347656,1.109375,1.015625
219,0.487793,0.511149,0.512207,0.330078,1.179688,0.972656
220,0.462891,0.506323,0.537109,0.296875,1.234375,0.898438
221,0.457520,0.501443,0.542480,0.300781,1.085938,0.972656
222,0.521973,0.503496,0.478027,0.332031,1.125000,1.046875
223,0.542480,0.507394,0.457520,0.347656,1.148438,1.031250
224,0.521484,0.508803,0.478516,0.343750,1.179688,1.031250
225,0.522949,0.510218,0.477051,0.353516,1.179688,1.109375
226,0.558105,0.515006,0.441895,0.373047,0.917969,1.296875
227,0.545898,0.518096,0.454102,0.400391,0.902344,1.359375
228,0.513184,0.517604,0.486816,0.380859,0.890625,1.062500
229,0.490234,0.514867,0.509766,0.332031,1.054688,1.117188
230,0.570312,0.520412,0.429688,0.412109,1.164062,1.640625
231,0.498047,0.518175,0.501953,0.324219,1.109375,0.941406
232,0.483398,0.514698,0.516602,0.312500,1.117188,0.972656
233,0.509277,0.514156,0.490723,0.330078,1.164062,1.070312
234,0.507324,0.513473,0.492676,0.355469,1.070312,1.195312
235,0.476562,0.509782,0.523438,0.312500,1.210938,1.023438
236,0.467773,0.505581,0.532227,0.341797,0.898438,1.125000
237,0.516113,0.506634,0.483887,0.339844,1.117188,1.062500
238,0.501953,0.506166,0.498047,0.324219,1.164062,0.929688
239,0.502441,0.505793,0.497559,0.326172,1.156250,1.031250
240,0.453613,0.500575,0.546387,0.310547,0.960938,0.968750
241,0.483398,0.498858,0.516602,0.335938,0.964844,1.031250
242,0.488281,0.497800,0.511719,0.326172,1.039062,0.941406
243,0.565430,0.504563,0.434570,0.408203,0.941406,1.421875
244,0.587402,0.512847,0.412598,0.447266,0.992188,1.570312
245,0.511719,0.512734,0.488281,0.343750,1.101562,1.085938
246,0.490723,0.510533,0.509277,0.314453,1.000000,0.988281
247,0.487305,0.508210,0.512695,0.332031,0.996094,1.054688
248,0.500488,0.507438,0.499512,0.328125,1.164062,1.054688
249,0.534180,0.510112,0.465820,0.369141,1.101562,1.179688
250,0.511230,0.510224,0.488770,0.353516,1.000000,1.085938
251,0.514648,0.510666,0.485352,0.367188,1.000000,1.250000
252,0.497559,0.509356,0.502441,0.343750,1.031250,1.226562
253,0.486328,0.507053,0.513672,0.328125,1.046875,1.093750
254,0.526855,0.509033,0.473145,0.337891,1.234375,1.148438
255,0.462402,0.504370,0.537598,0.353516,0.878906,1.101562
256,0.487793,0.502712,0.512207,0.326172,1.062500,0.976562
257,0.527832,0.505224,0.472168,0.363281,1.140625,1.085938
258,0.528320,0.507534,0.471680,0.357422,1.101562,1.164062
259,0.438477,0.500628,0.561523,0.296875,1.101562,0.761719
